date,tenor,avg_yield,num_bonds_used,bond_names_used,min_remain_years,max_remain_years
2020-01-23,2Y,-0.121,1,JGB408(2),1.941,1.941
2020-01-23,5Y,-0.1176,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.909,4.909
2020-01-23,10Y,-0.001,1,JGB2(30),10.078,10.078
2020-01-23,20Y,0.295,1,JGB171(20),19.907,19.907
2020-01-23,30Y,0.437,1,JGB65(30),29.908,29.908
2020-01-23,40Y,0.4735,2,JGB WI(40)-01|JGB12(40),39.154,39.154
2020-01-24,2Y,-0.1305,2,JGB WI(2)-02|JGB408(2),1.938,2.023
2020-01-24,5Y,-0.1326,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.906,4.906
2020-01-24,10Y,-0.021,1,JGB2(30),10.075,10.075
2020-01-24,20Y,0.271,1,JGB171(20),19.904,19.904
2020-01-24,30Y,0.409,1,JGB65(30),29.906,29.906
2020-01-24,40Y,0.4445,2,JGB WI(40)-01|JGB12(40),39.151,39.151
2020-01-27,2Y,-0.1305,2,JGB WI(2)-02|JGB408(2),1.93,2.015
2020-01-27,5Y,-0.1326,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.898,4.898
2020-01-27,10Y,-0.021,1,JGB2(30),10.067,10.067
2020-01-27,20Y,0.265,1,JGB171(20),19.896,19.896
2020-01-27,30Y,0.404,1,JGB65(30),29.897,29.897
2020-01-27,40Y,0.439,2,JGB WI(40)-01|JGB12(40),39.143,39.143
2020-01-28,2Y,-0.1415,2,JGB WI(2)-02|JGB408(2),1.927,2.012
2020-01-28,5Y,-0.153,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.895,4.895
2020-01-28,10Y,-0.043,1,JGB2(30),10.064,10.064
2020-01-28,20Y,0.236,1,JGB171(20),19.893,19.893
2020-01-28,30Y,0.371,1,JGB65(30),29.895,29.895
2020-01-28,40Y,0.4005,2,JGB WI(40)-01|JGB12(40),39.14,39.14
2020-01-29,2Y,-0.1315,2,JGB WI(2)-02|JGB408(2),1.925,2.01
2020-01-29,5Y,-0.1428,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.893,4.893
2020-01-29,10Y,-0.035,1,JGB2(30),10.062,10.062
2020-01-29,20Y,0.241,1,JGB171(20),19.89,19.89
2020-01-29,30Y,0.376,1,JGB65(30),29.892,29.892
2020-01-29,40Y,0.406,1,JGB12(40),39.138,39.138
2020-01-30,2Y,-0.1315,2,JGB WI(2)-02|JGB408(2),1.922,2.007
2020-01-30,5Y,-0.143,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.89,4.89
2020-01-30,10Y,-0.038,1,JGB2(30),10.059,10.059
2020-01-30,20Y,0.236,1,JGB171(20),19.888,19.888
2020-01-30,30Y,0.371,1,JGB65(30),29.889,29.889
2020-01-30,40Y,0.397,1,JGB12(40),39.135,39.135
2020-01-31,2Y,-0.149,2,JGB408(2)|JGB409(2),1.919,2.004
2020-01-31,5Y,-0.1638,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.887,4.887
2020-01-31,10Y,-0.055,1,JGB2(30),10.056,10.056
2020-01-31,20Y,0.226,1,JGB171(20),19.885,19.885
2020-01-31,30Y,0.3585,2,JGB WI(30)-02|JGB65(30),29.886,29.886
2020-01-31,40Y,0.382,1,JGB12(40),39.132,39.132
2020-02-03,2Y,-0.159,1,JGB409(2),1.996,1.996
2020-02-03,5Y,-0.1756,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.879,4.879
2020-02-03,10Y,-0.06,1,JGB2(30),10.048,10.048
2020-02-03,20Y,0.231,1,JGB171(20),19.877,19.877
2020-02-03,30Y,0.366,2,JGB WI(30)-02|JGB65(30),29.878,29.878
2020-02-03,40Y,0.392,1,JGB12(40),39.124,39.124
2020-02-04,2Y,-0.165,1,JGB409(2),1.993,1.993
2020-02-04,5Y,-0.1815,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.123,5.123
2020-02-04,10Y,-0.057,1,JGB2(30),10.045,10.045
2020-02-04,20Y,0.244,1,JGB32(30),20.123,20.123
2020-02-04,30Y,0.382,1,JGB3(40),30.122,30.122
2020-02-04,40Y,0.411,1,JGB12(40),39.121,39.121
2020-02-05,2Y,-0.15,1,JGB409(2),1.99,1.99
2020-02-05,5Y,-0.1713,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.12,5.12
2020-02-05,10Y,-0.05,1,JGB2(30),10.042,10.042
2020-02-05,20Y,0.255,1,JGB32(30),20.12,20.12
2020-02-05,30Y,0.394,1,JGB3(40),30.119,30.119
2020-02-05,40Y,0.42,1,JGB12(40),39.118,39.118
2020-02-06,2Y,-0.14,1,JGB409(2),1.988,1.988
2020-02-06,5Y,-0.1557,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.117,5.117
2020-02-06,10Y,-0.037,1,JGB2(30),10.04,10.04
2020-02-06,20Y,0.272,1,JGB32(30),20.118,20.118
2020-02-06,30Y,0.417,1,JGB3(40),30.116,30.116
2020-02-06,40Y,0.444,1,JGB12(40),39.116,39.116
2020-02-07,2Y,-0.131,1,JGB409(2),1.985,1.985
2020-02-07,5Y,-0.1395,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.114,5.114
2020-02-07,10Y,-0.021,1,JGB2(30),10.037,10.037
2020-02-07,20Y,0.281,1,JGB32(30),20.115,20.115
2020-02-07,30Y,0.423,1,JGB3(40),30.114,30.114
2020-02-07,40Y,0.448,1,JGB12(40),39.113,39.113
2020-02-10,2Y,-0.146,1,JGB409(2),1.977,1.977
2020-02-10,5Y,-0.156,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.106,5.106
2020-02-10,10Y,-0.042,1,JGB2(30),10.029,10.029
2020-02-10,20Y,0.255,1,JGB32(30),20.107,20.107
2020-02-10,30Y,0.389,1,JGB3(40),30.105,30.105
2020-02-10,40Y,0.42,1,JGB12(40),39.105,39.105
2020-02-12,2Y,-0.157,1,JGB409(2),1.971,1.971
2020-02-12,5Y,-0.169,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.101,5.101
2020-02-12,10Y,-0.057,1,JGB2(30),10.023,10.023
2020-02-12,20Y,0.232,1,JGB32(30),20.101,20.101
2020-02-12,30Y,0.365,1,JGB3(40),30.1,30.1
2020-02-12,40Y,0.396,1,JGB12(40),39.099,39.099
2020-02-13,2Y,-0.153,1,JGB409(2),1.969,1.969
2020-02-13,5Y,-0.158,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.098,5.098
2020-02-13,10Y,-0.043,1,JGB2(30),10.021,10.021
2020-02-13,20Y,0.249,1,JGB32(30),20.099,20.099
2020-02-13,30Y,0.377,1,JGB3(40),30.097,30.097
2020-02-13,40Y,0.406,1,JGB12(40),39.097,39.097
2020-02-14,2Y,-0.153,1,JGB409(2),1.966,1.966
2020-02-14,5Y,-0.1557,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.095,5.095
2020-02-14,10Y,-0.033,1,JGB2(30),10.018,10.018
2020-02-14,20Y,0.261,1,JGB32(30),20.096,20.096
2020-02-14,30Y,0.388,1,JGB3(40),30.094,30.094
2020-02-14,40Y,0.415,1,JGB12(40),39.094,39.094
2020-02-17,2Y,-0.143,1,JGB409(2),1.958,1.958
2020-02-17,5Y,-0.1502,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.087,5.087
2020-02-17,10Y,-0.027,1,JGB2(30),10.01,10.01
2020-02-17,20Y,0.261,1,JGB32(30),20.088,20.088
2020-02-17,30Y,0.388,1,JGB3(40),30.086,30.086
2020-02-17,40Y,0.415,1,JGB12(40),39.086,39.086
2020-02-18,2Y,-0.144,1,JGB409(2),1.955,1.955
2020-02-18,5Y,-0.1502,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.084,5.084
2020-02-18,10Y,-0.032,1,JGB2(30),10.007,10.007
2020-02-18,20Y,0.244,1,JGB32(30),20.085,20.085
2020-02-18,30Y,0.371,1,JGB3(40),30.084,30.084
2020-02-18,40Y,0.396,1,JGB12(40),39.083,39.083
2020-02-19,2Y,-0.1542,4,JGB131(5)|JGB321(10)|JGB322(10)|JGB409(2),1.952,2.081
2020-02-19,5Y,-0.166,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.081,5.081
2020-02-19,10Y,-0.0483,3,JGB116(20)|JGB117(20)|JGB2(30),10.004,10.081
2020-02-19,20Y,0.227,1,JGB32(30),20.082,20.082
2020-02-19,30Y,0.354,1,JGB3(40),30.081,30.081
2020-02-19,40Y,0.377,1,JGB12(40),39.08,39.08
2020-02-20,2Y,-0.1572,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB409(2)|JGB55(20),1.949,2.081
2020-02-20,5Y,-0.1663,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.079,5.079
2020-02-20,10Y,-0.043,3,JGB116(20)|JGB117(20)|JGB2(30),10.001,10.078
2020-02-20,20Y,0.238,1,JGB32(30),20.079,20.079
2020-02-20,30Y,0.366,1,JGB3(40),30.078,30.078
2020-02-20,40Y,0.392,1,JGB12(40),39.077,39.077
2020-02-21,2Y,-0.1538,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB409(2)|JGB55(20),1.947,2.078
2020-02-21,5Y,-0.16,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.076,5.076
2020-02-21,10Y,-0.0377,3,JGB116(20)|JGB117(20)|JGB2(30),9.999,10.075
2020-02-21,20Y,0.238,1,JGB32(30),20.077,20.077
2020-02-21,30Y,0.359,1,JGB3(40),30.075,30.075
2020-02-21,40Y,0.382,1,JGB12(40),39.075,39.075
2020-02-25,2Y,-0.1645,6,JGB WI(2)-03|JGB131(5)|JGB321(10)|JGB322(10)|JGB409(2)|JGB55(20),1.936,2.067
2020-02-25,5Y,-0.181,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.065,5.065
2020-02-25,10Y,-0.0597,3,JGB116(20)|JGB117(20)|JGB2(30),9.988,10.064
2020-02-25,20Y,0.221,1,JGB32(30),20.066,20.066
2020-02-25,30Y,0.342,1,JGB3(40),30.064,30.064
2020-02-25,40Y,0.368,1,JGB12(40),39.064,39.064
2020-02-26,2Y,-0.2032,6,JGB WI(2)-03|JGB131(5)|JGB321(10)|JGB322(10)|JGB409(2)|JGB55(20),1.933,2.064
2020-02-26,5Y,-0.2278,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.062,5.062
2020-02-26,10Y,-0.098,3,JGB116(20)|JGB117(20)|JGB2(30),9.985,10.062
2020-02-26,20Y,0.207,1,JGB32(30),20.063,20.063
2020-02-26,30Y,0.33,1,JGB3(40),30.062,30.062
2020-02-26,40Y,0.358,1,JGB12(40),39.061,39.061
2020-02-27,2Y,-0.2008,6,JGB WI(2)-03|JGB131(5)|JGB321(10)|JGB322(10)|JGB409(2)|JGB55(20),1.93,2.062
2020-02-27,5Y,-0.2182,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.06,5.06
2020-02-27,10Y,-0.0867,3,JGB116(20)|JGB117(20)|JGB2(30),9.982,10.059
2020-02-27,20Y,0.221,1,JGB32(30),20.06,20.06
2020-02-27,30Y,0.342,1,JGB3(40),30.059,30.059
2020-02-27,40Y,0.368,1,JGB12(40),39.058,39.058
2020-02-28,2Y,-0.2095,6,JGB WI(2)-03|JGB131(5)|JGB321(10)|JGB322(10)|JGB409(2)|JGB55(20),1.927,2.059
2020-02-28,5Y,-0.2285,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.057,5.057
2020-02-28,10Y,-0.1033,3,JGB116(20)|JGB117(20)|JGB2(30),9.979,10.056
2020-02-28,20Y,0.215,1,JGB32(30),20.057,20.057
2020-02-28,30Y,0.348,1,JGB3(40),30.056,30.056
2020-02-28,40Y,0.373,1,JGB12(40),39.055,39.055
2020-03-02,2Y,-0.2567,6,JGB131(5)|JGB321(10)|JGB322(10)|JGB409(2)|JGB410(2)|JGB55(20),1.919,2.051
2020-03-02,5Y,-0.2725,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.049,5.049
2020-03-02,10Y,-0.1533,3,JGB116(20)|JGB117(20)|JGB2(30),9.971,10.048
2020-03-02,20Y,0.157,1,JGB32(30),20.049,20.049
2020-03-02,30Y,0.28,1,JGB3(40),30.048,30.048
2020-03-02,40Y,0.309,1,JGB12(40),39.047,39.047
2020-03-03,2Y,-0.2584,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.993,2.048
2020-03-03,5Y,-0.261,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.046,5.046
2020-03-03,10Y,-0.1313,3,JGB116(20)|JGB117(20)|JGB2(30),9.969,10.045
2020-03-03,20Y,0.157,1,JGB32(30),20.047,20.047
2020-03-03,30Y,0.278,1,JGB3(40),30.045,30.045
2020-03-03,40Y,0.305,1,JGB12(40),39.044,39.044
2020-03-04,2Y,-0.2434,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.99,2.045
2020-03-04,5Y,-0.2455,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.043,5.043
2020-03-04,10Y,-0.1033,3,JGB116(20)|JGB117(20)|JGB2(30),9.966,10.042
2020-03-04,20Y,0.192,1,JGB32(30),20.044,20.044
2020-03-04,30Y,0.319,1,JGB3(40),30.042,30.042
2020-03-04,40Y,0.344,1,JGB12(40),39.042,39.042
2020-03-05,2Y,-0.275,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.988,2.042
2020-03-05,5Y,-0.2815,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.04,5.04
2020-03-05,10Y,-0.132,3,JGB116(20)|JGB117(20)|JGB2(30),9.963,10.04
2020-03-05,20Y,0.177,1,JGB32(30),20.041,20.041
2020-03-05,30Y,0.311,1,JGB3(40),30.04,30.04
2020-03-05,40Y,0.334,1,JGB12(40),39.039,39.039
2020-03-06,2Y,-0.2472,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.985,2.04
2020-03-06,5Y,-0.2515,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.038,5.038
2020-03-06,10Y,-0.0997,3,JGB116(20)|JGB117(20)|JGB2(30),9.96,10.037
2020-03-06,20Y,0.217,1,JGB32(30),20.038,20.038
2020-03-06,30Y,0.35,1,JGB3(40),30.037,30.037
2020-03-06,40Y,0.37,1,JGB12(40),39.036,39.036
2020-03-09,2Y,-0.2828,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.977,2.031
2020-03-09,5Y,-0.298,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.029,5.029
2020-03-09,10Y,-0.122,3,JGB116(20)|JGB117(20)|JGB2(30),9.952,10.029
2020-03-09,20Y,0.185,1,JGB32(30),20.03,20.03
2020-03-09,30Y,0.313,1,JGB3(40),30.029,30.029
2020-03-09,40Y,0.334,1,JGB12(40),39.028,39.028
2020-03-10,2Y,-0.3096,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.974,2.029
2020-03-10,5Y,-0.3397,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.027,5.027
2020-03-10,10Y,-0.1383,3,JGB116(20)|JGB117(20)|JGB2(30),9.949,10.026
2020-03-10,20Y,0.148,1,JGB32(30),20.027,20.027
2020-03-10,30Y,0.261,1,JGB3(40),30.026,30.026
2020-03-10,40Y,0.281,1,JGB12(40),39.025,39.025
2020-03-11,2Y,-0.239,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.971,2.026
2020-03-11,5Y,-0.2502,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.024,5.024
2020-03-11,10Y,-0.0283,3,JGB116(20)|JGB117(20)|JGB2(30),9.947,10.023
2020-03-11,20Y,0.222,1,JGB32(30),20.025,20.025
2020-03-11,30Y,0.305,1,JGB3(40),30.023,30.023
2020-03-11,40Y,0.321,1,JGB12(40),39.023,39.023
2020-03-12,2Y,-0.2294,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.969,2.023
2020-03-12,5Y,-0.256,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.021,5.021
2020-03-12,10Y,-0.053,3,JGB116(20)|JGB117(20)|JGB2(30),9.944,10.021
2020-03-12,20Y,0.215,1,JGB32(30),20.022,20.022
2020-03-12,30Y,0.295,1,JGB3(40),30.021,30.021
2020-03-12,40Y,0.309,1,JGB12(40),39.02,39.02
2020-03-13,2Y,-0.2172,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.966,2.021
2020-03-13,5Y,-0.2248,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.018,5.018
2020-03-13,10Y,-0.0443,3,JGB116(20)|JGB117(20)|JGB2(30),9.941,10.018
2020-03-13,20Y,0.244,1,JGB32(30),20.019,20.019
2020-03-13,30Y,0.307,1,JGB3(40),30.018,30.018
2020-03-13,40Y,0.313,1,JGB12(40),39.017,39.017
2020-03-16,2Y,-0.1972,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.958,2.012
2020-03-16,5Y,-0.1547,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.01,5.01
2020-03-16,10Y,0.0093,3,JGB116(20)|JGB117(20)|JGB2(30),9.933,10.01
2020-03-16,20Y,0.292,1,JGB32(30),20.011,20.011
2020-03-16,30Y,0.323,1,JGB3(40),30.01,30.01
2020-03-16,40Y,0.319,1,JGB12(40),39.009,39.009
2020-03-17,2Y,-0.1894,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.955,2.01
2020-03-17,5Y,-0.133,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.008,5.008
2020-03-17,10Y,0.0257,3,JGB116(20)|JGB117(20)|JGB2(30),9.93,10.007
2020-03-17,20Y,0.297,1,JGB32(30),20.008,20.008
2020-03-17,30Y,0.344,1,JGB3(40),30.007,30.007
2020-03-17,40Y,0.339,1,JGB12(40),39.006,39.006
2020-03-18,2Y,-0.1898,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.952,2.007
2020-03-18,5Y,-0.1283,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.005,5.005
2020-03-18,10Y,0.02,3,JGB116(20)|JGB117(20)|JGB2(30),9.927,10.004
2020-03-18,20Y,0.278,1,JGB32(30),20.005,20.005
2020-03-18,30Y,0.359,1,JGB3(40),30.004,30.004
2020-03-18,40Y,0.358,1,JGB12(40),39.003,39.003
2020-03-19,2Y,-0.1614,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.949,2.004
2020-03-19,5Y,-0.0867,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),5.002,5.002
2020-03-19,10Y,0.0627,3,JGB116(20)|JGB117(20)|JGB2(30),9.925,10.001
2020-03-19,20Y,0.306,1,JGB32(30),20.003,20.003
2020-03-19,30Y,0.405,1,JGB3(40),30.001,30.001
2020-03-19,40Y,0.411,1,JGB12(40),39.001,39.001
2020-03-23,2Y,-0.1572,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.938,1.993
2020-03-23,5Y,-0.056,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),4.991,4.991
2020-03-23,10Y,0.109,2,JGB116(20)|JGB117(20),9.99,9.99
2020-03-23,20Y,0.337,1,JGB32(30),19.992,19.992
2020-03-23,30Y,0.44,1,JGB3(40),29.99,29.99
2020-03-23,40Y,0.444,2,JGB WI(40)-03|JGB12(40),38.99,38.99
2020-03-24,2Y,-0.1894,5,JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.936,1.99
2020-03-24,5Y,-0.0783,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),4.988,4.988
2020-03-24,10Y,0.078,2,JGB116(20)|JGB117(20),9.988,9.988
2020-03-24,20Y,0.318,1,JGB32(30),19.989,19.989
2020-03-24,30Y,0.434,1,JGB3(40),29.988,29.988
2020-03-24,40Y,0.444,2,JGB WI(40)-03|JGB12(40),38.987,38.987
2020-03-25,2Y,-0.2118,6,JGB WI(2)-04|JGB131(5)|JGB321(10)|JGB322(10)|JGB410(2)|JGB55(20),1.933,2.018
2020-03-25,5Y,-0.1175,4,JGB338(10)|JGB75(20)|JGB76(20)|JGB77(20),4.986,4.986
2020-03-25,10Y,0.049,2,JGB116(20)|JGB117(20),9.985,9.985
2020-03-25,20Y,0.312,1,JGB32(30),19.986,19.986
